distance,elevation
974.0156674635023,26.871217674178855
1085.6497839497154,31.672636817259733
1203.7486491671482,37.17082697838361
1310.5441584914884,42.53164490351346
1417.236240574861,48.20822397011509
1497.1832670983667,52.62951299830429
1595.9523787228093,58.19114953452172
1698.172030908674,63.86329604693564
1794.0225153045994,68.95580603078842
1885.4282703360088,73.50863941204904
1975.9219287554095,77.68428961580274
2073.4551196150583,81.80988871172121
2219.2883776835356,87.31974473607544
2328.370412177596,91.04041479756773
2410.1520818882714,93.67776504694626
2478.569950796833,95.82229425208052
2590.7121712669446,99.26327102557423
2680.3435129533036,101.95276699420715
2782.9829750864883,104.91421279371772
2910.649153039953,108.78538232568805
3029.867240589618,113.47113066641066
3110.9651861512143,117.1858351212534
3213.8773827093114,122.02446062775199
3324.9943719528023,126.5244748125428
3380.379665132905,128.19347064396607
3502.308987773136,129.90065258113302
7514.760195962478,140.79267526839638
7597.035048665483,147.37906551092428
7677.720689964301,153.238424081575
7813.466588506648,160.60177731415135
7889.628284004335,162.74148609835237
9676.315660492179,175.39849665909887
9771.16386286187,200.15676191840146
9920.92307940435,238.0481007387329
10007.184755730377,257.97259057538207
10082.68247502781,273.5760067476867
10184.078248377928,291.2110214281523
10316.313594770918,308.1465395786105
10400.187586066924,315.1252841466388
10474.71409017283,318.3928698758042
14391.70056842383,343.65700239089966
14513.9306306811,389.39625359198885
14604.368277167061,420.4168052916563
14725.224641183042,454.6269658020091
14774.336966449073,465.5824851120417
14889.420689554621,484.67369055507
15001.026851942339,495.62778751333116
15101.7960229878,501.3181745172452
15193.556677467996,505.1027317062189
15320.7865508065,509.9305235417897
15408.073967900129,512.8893029933797
15528.634725730753,517.9502161986687
15604.190770033067,523.2891523434938
15702.455636304216,534.6154485719608
15800.817280435866,552.5364096191674
15891.011540396086,575.0038815339817
15979.99112371412,602.140401457829
16104.118480525716,644.6501122740348
16170.92599586291,668.1139241934908
16299.811258496144,708.8359719369158
16380.740831418223,728.7966953195777
16480.4616967987,746.796166056266
16577.156026531437,759.7336699266605
16715.159465889792,781.2907876240831
16809.014115809397,799.9832522957872
16880.2699722351,814.7364624376312
16973.18903966467,831.8407122203696
17074.92824900416,843.2681675772782
20900.406214311348,857.0064667010671
21017.022742988975,917.4671050795844
21079.276807230246,947.3525331644333
21188.673581399406,997.8898175640815
21301.619094324902,1050.0132718921677
21418.24269398223,1107.7812428292373
21510.797947697934,1155.4306416752752
21592.94596058055,1196.3601922978096
21713.47570415788,1254.7338667742727
21809.39679745036,1299.483769522766
21909.117136887722,1344.678943679424
21971.52587424252,1371.3675379933625
22107.8383396184,1423.825420433915
22193.442520975655,1450.732146616919
22322.620565773894,1479.8988405090747
22394.46419337948,1489.0611941918035
22517.06848485145,1491.8281811749912
42078.227492442624,1569.6536797433205
42217.82297403493,1763.6401223477337
42301.503256086144,1850.4659876681787
42378.925043791955,1911.2170450450649
42503.01067176591,1968.437614827044
42582.47168532674,1984.3499938470277
42712.009983188116,1984.63953316984
53315.651390577,2013.366704407757
53422.60690603282,2032.4290634436768
53475.90373738631,2032.5098360562645
54117.355610592735,2041.1444439060224
54181.4135877321,2056.797929893503
54325.40266799085,2095.679612008744
54422.99282598322,2123.687951104306
54517.32228028183,2149.6423013075537
54609.90903588861,2170.4744153964457
54675.78876436564,2181.1039136278514
54816.54870441684,2185.688537824542
62926.13356275884,2260.5190114200173
63025.79587578776,2376.5464289588426
63103.39396486681,2475.2217983487676
63223.752599172156,2635.1201733799485
63279.62991395841,2706.5375562812874
63392.12910980918,2834.2659565093613
63503.43532360857,2932.463792184704
63611.532771231185,2997.918873898417
63676.17250611894,3023.344990618288
63828.864057216364,3056.5064528230214
63909.527646457995,3064.9930307601244
64029.36209046945,3073.5045320086765
64101.28984510534,3079.5050279956276
64211.25515920259,3110.90340418065
64299.72592005623,3165.2153002844566
64392.65986226403,3251.5579385551823
64519.91821024363,3407.9284310611124
64587.35945233679,3498.691137727774
64684.451866530086,3627.63447938343
64815.035526436084,3777.308048151127
64884.24730787546,3836.5460546198397
65004.76214180488,3896.104818002239
65083.58562635274,3904.5047789778655
66081.76242518127,3990.9573876979284
66196.18504414204,4107.668775426043
66320.95383935749,4204.508941516449
66390.48181792177,4235.87229035902
66525.61440954982,4250.259527041813
66781.96070482518,4264.313826393908
66875.43880080526,4286.750522929671
66999.33536274615,4306.112487889815
71405.47950101392,4408.726179683195
71493.23621173593,4539.400690362566
71573.04289212408,4648.5335630496975
71722.51657180265,4803.968911653329
71804.48375912657,4855.646684915794
71870.89154278135,4879.545750434288
71994.87350272844,4883.782339774251
