distance,elevation
973.2829046776103,33.68734910261763
1097.4386056029482,40.83449298543019
1207.0019958419323,47.572593826637174
1320.97984132157,54.84868464505454
1386.2569850915181,59.07190744001481
1488.9197724550984,65.69437784138395
1628.421753485702,74.47593453253745
1724.328235521361,80.32064591507712
1789.9022469362317,84.22668820964371
1902.5851116468787,90.45758302480625
1990.2107096057057,94.69569210061901
2110.3452804495696,99.64449287206797
2185.3100188606763,102.34950775942545
2286.207866599912,105.75880915528923
2379.3447498969877,108.87631913333932
2483.126327654663,112.51283577030132
2623.311223505482,117.79815894021843
2710.691742683629,121.1989576199133
2824.72258361634,125.45463237622315
2910.3551589438375,128.31079300436332
2982.6313791960256,130.42032692854548
3127.147594764117,133.99156326106865
3225.084826517111,135.92012961521263
3281.003427460127,136.7516434267069
3392.2725168178686,137.55135126345016
9189.668384156574,272.5939839304688
14870.723176249707,290.50822855236163
14995.956038493026,308.6912935150262
15095.633925427373,313.50810765713476
16490.443338535144,318.77959832516717
16599.59601874464,323.9732769386913
19829.265741297164,329.8054354149345
22429.437149828234,351.472321956532
22528.358342096682,377.96474308745354
22580.022960920447,393.1579964974371
22690.672927315944,427.977139023603
22778.15458084491,456.2543970605114
22870.60854960954,485.5950312673246
23019.50016963331,530.0144920223888
23099.520740513366,553.2712840157262
23178.926452601827,576.3206565220747
23309.499898855276,612.8332075393716
23391.08679566079,633.4971913699313
23484.88916953141,654.0001089272431
23610.08254170304,675.4538537206884
23671.26667622973,683.7631138561854
23822.436135791486,701.0448580190057
23922.032988336156,713.1149350879897
24016.89987531257,727.7925250216235
24109.29119555688,746.3231248875937
24175.634430309212,761.992439639518
24326.68552351391,799.7149541689688
24385.353435720543,814.35406935251
24507.36450353183,844.9528573980116
24576.603289605497,862.1730439155067
24682.449889850945,887.6050441288537
24827.866823352826,917.8051025746212
24879.579154680032,926.3462890867283
24992.214703180784,939.4361239846376
25079.680986645166,943.2151948308618
42499.76831332518,982.6702363383421
42599.478445986184,1137.082292170351
42670.29119243225,1247.6251517442513
42783.09598098934,1411.0233955995852
42892.91410706083,1544.0924307355212
42976.550478809826,1627.8227757632476
43085.577874772294,1727.8163903070204
43172.215193279044,1805.4655824594245
43311.9356900733,1926.6385121346345
43374.353404783615,1975.866510976852
43529.52665339245,2071.214823680022
43601.143747735645,2098.023927344594
43688.36387727981,2113.407483674071
52410.85353392872,2132.368205309992
70470.05401878014,2134.888359717816
70605.92969363647,2327.3069992918154
70702.46316691294,2441.035275020319
70779.45420016826,2514.9318165124555
70927.71656751695,2613.8444279663527
71014.64214300927,2646.8880287059987
71084.6826845544,2662.5271028685984
71218.21170426847,2674.6436766409684
71296.11429223999,2677.4871268086868
71393.1908082038,2684.267923755125
71482.44812114754,2698.9387442173193
71629.35179068438,2746.856347096906
71712.07774727292,2782.807194384236
71802.34154025251,2819.3782740473193
71877.61872161046,2844.80686112535
72016.03517586911,2876.628186252048
72112.85806066013,2883.430773738202
83086.43615566286,2923.3479958060298
83214.45920082605,3159.330411979228
83329.54617302954,3337.206765658401
83403.38609216364,3431.6400146340834
83507.25912959797,3537.019227810805
83601.1781536458,3605.393791001683
83719.08350880815,3657.4508937849096
83815.45514286193,3675.65955354125
83928.7243305097,3850.842952698189
85900.01023943319,3853.0261499027115
86025.66477712359,3982.445013361054
86126.01507392836,4069.114856395728
86203.16144217284,4124.279535422062
86309.06326559736,4181.860522286303
86383.43067409188,4209.280836403
86481.46678183037,4228.844949263659
91696.68288002266,4381.441965682888
91828.10886832957,4635.817010756883
91884.89348725733,4739.71032930039
91972.30806454044,4887.764459768192
92114.62770942455,5072.536854591284
92211.96448824239,5141.3903242523065
92280.0181269741,5156.963118040967
